Happiness,Family,Friends,Leisure time,Politics,Religion,Work,Independence,Country
35.15,93.4,51.7,31.1,-14.5,92.55,73.35,31.2,Algeria
53.05,93.5,63.75,41.95,-30.85,10,64.4,44.1,Argentina
60.15,95.05,72.2,61.05,-5.8,-28.75,45.7,65,Australia
45.5,97.65,58.2,39.45,-29.65,66.35,78.35,28,Armenia
59.2,92.35,48.75,53.1,-16.3,63.6,79.45,37.6,Brazil
46.45,94.55,45.7,67.95,-41.55,14.7,66.75,49.2,Chile
42.35,91.75,65.05,31.6,-5.9,-58,49.5,69.7,China
69.55,91.95,35.15,59.55,-38.75,63.1,86.2,36.4,Colombia
43.1,95.7,72.75,67.25,-20,52.3,74.3,43.1,Cyprus
32.85,91.65,65,52.75,-29.55,-37.95,55.45,54.5,Estonia
27,97.2,55.35,30.85,0.05,90.35,66.1,42.9,Palestine
45.35,84.15,68.85,52.8,-7.15,-18.1,47.7,73.5,Germany
55.6,96.9,56.85,33.95,-9.2,74.65,82.75,89.9,India
21.3,95.65,60.3,13.4,-15.2,89.75,72.7,36.8,Iraq
53.7,93.7,65.4,60.7,30.15,-38.7,62.05,67.7,Japan
47.3,94.55,70.2,52.25,7.55,8.4,69.9,57.8,South Korea
55.75,97.7,75.6,48,13.8,96.15,77.9,38.4,Libya
77.85,98.05,45,64.15,-8.2,60.6,88.15,38.5,Mexico
36.15,94.5,44,-0.8,-53.65,93.2,86.05,43,Morocco
58.55,87.45,69.7,63.65,-14,-40.3,42.65,60.7,Netherlands
60.2,95,72.05,64.85,-2.4,-17.25,49,53.5,New Zealand
54.25,94.85,62.2,53.25,-25.2,50.3,70.9,43.4,Poland
24.1,95.1,34.35,43.8,-42.9,57.6,67.05,42.2,Romania
31.9,90.2,46.4,37.65,-33.35,-9.6,45.25,37.8,Russia
62.3,95.6,69.85,56.45,3.75,45.6,52.85,72.1,Singapore
42.5,93.25,64,57.75,-57.35,-24.1,58.55,88,Slovenia
43.4,94.75,52.15,36.4,-4.65,60.15,58,63.5,South Africa
47.3,97.9,52.5,48.85,-4.2,87,89.45,39.1,Zimbabwe
43.75,95,71.95,63.85,-43.2,-30.15,63.35,43.1,Spain
64.7,92.85,81.15,72,17.15,-36.5,61.35,70.3,Sweden
62.1,92.25,47.15,39.35,37.4,65.1,74.7,35.9,Thailand
50.9,97.4,75.9,55.7,-3.6,75.4,53.8,35,Turkey
-43.4,98.25,64.7,17.3,35,96.85,58.8,80.2,Egypt
57.25,93.55,70.05,59.8,3.65,32.6,44.7,53.6,United States
52.3,92.65,56.4,61,-33.6,-16.2,69.8,48.2,Uruguay
